"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","56,637.15","57,420.60","57,515.75","56,548.25","158.09B","-1.33%"
"07/01/2025","57,400.55","59,876.40","59,955.50","57,093.10","4,154.37B","-3.92%"
"06/01/2025","59,741.20","57,390.05","59,967.90","57,047.45","5,258.17B","4.04%"
"05/01/2025","57,420.00","54,004.95","57,779.05","52,093.90","5,416.90B","6.09%"
"04/01/2025","54,124.90","51,554.15","55,223.35","46,966.60","4,222.59B","4.75%"
"03/01/2025","51,672.25","47,962.20","52,926.85","46,865.70","3,599.27B","7.84%"
"02/01/2025","47,915.20","53,953.55","54,535.75","47,485.30","3,237.33B","-10.79%"
"01/01/2025","53,712.20","57,225.05","58,393.80","50,875.05","4,236.22B","-6.10%"
"12/01/2024","57,199.45","56,400.65","59,654.95","56,227.15","775.14M","1.43%"
"11/01/2024","56,392.65","56,471.15","57,731.55","53,635.85","3,479.59B","0.50%"
"10/01/2024","56,112.85","60,241.45","60,414.80","54,740.95","4,735.66B","-6.72%"
"09/01/2024","60,153.80","59,529.90","60,925.95","57,791.20","4,778.67B","1.46%"
"08/01/2024","59,286.65","59,259.55","59,472.55","55,362.20","5,063.01B","0.50%"
"07/01/2024","58,990.90","55,901.45","59,116.00","54,423.05","6,330.39B","5.84%"
"06/01/2024","55,736.90","53,705.30","55,927.60","47,246.60","","7.80%"
"05/01/2024","51,705.70","51,079.70","53,043.60","48,568.10","","1.65%"
"04/01/2024","50,868.20","48,463.15","51,232.35","47,952.70","1.28B","5.81%"
"03/01/2024","48,075.75","48,574.95","49,381.65","45,293.35","","-0.54%"
"02/01/2024","48,335.70","48,726.75","49,780.65","46,943.25","1.28B","-0.48%"
"01/01/2024","48,568.60","46,339.10","48,598.05","45,858.60","983.50M","5.17%"
"12/01/2023","46,181.65","43,155.05","46,248.65","43,118.25","","7.63%"
"11/01/2023","42,908.90","38,983.00","42,979.65","38,738.70","","10.37%"
"10/01/2023","38,876.95","40,562.10","40,849.45","37,655.85","","-4.10%"
"09/01/2023","40,537.05","39,148.40","41,686.75","39,035.80","","3.63%"
"08/01/2023","39,118.65","37,853.65","39,241.90","36,874.00","760.75M","3.70%"
"07/01/2023","37,721.35","35,945.40","37,757.15","35,699.55","","5.50%"
"06/01/2023","35,754.35","33,788.25","35,782.25","33,774.85","","5.90%"
"05/01/2023","33,761.30","31,948.85","33,814.70","31,926.85","","6.19%"
"04/01/2023","31,794.75","30,199.00","31,816.30","30,049.05","","5.86%"
"03/01/2023","30,035.15","30,182.90","31,258.85","29,200.20","","-0.27%"
"02/01/2023","30,117.30","30,934.30","31,179.75","29,631.10","","-1.82%"
"01/01/2023","30,676.45","31,630.60","31,951.65","29,895.35","","-2.64%"
"12/01/2022","31,509.10","32,201.85","32,939.30","29,910.15","","-1.65%"
"11/01/2022","32,037.90","31,536.95","32,120.40","30,750.70","","1.93%"
"10/01/2022","31,432.30","30,672.55","31,566.70","30,167.80","","2.49%"
"09/01/2022","30,668.30","31,270.80","32,603.25","29,878.95","","-2.58%"
"08/01/2022","31,481.70","29,791.70","31,593.00","29,641.00","","6.23%"
"07/01/2022","29,634.25","26,356.60","29,676.10","26,179.20","","12.03%"
"06/01/2022","26,452.75","28,345.85","28,729.15","25,048.15","","-6.49%"
"05/01/2022","28,288.35","29,666.10","29,908.75","26,472.60","","-5.33%"
"04/01/2022","29,880.35","29,734.60","31,506.55","29,637.90","","0.63%"
"03/01/2022","29,692.30","28,016.35","29,801.40","26,532.65","","5.20%"
"02/01/2022","28,223.45","30,570.55","31,006.85","26,779.05","","-6.77%"
"01/01/2022","30,273.95","30,487.75","32,230.30","28,627.05","","-0.55%"
"12/01/2021","30,442.90","29,851.15","31,504.35","28,396.10","","2.67%"
"11/01/2021","29,650.65","30,611.15","32,259.25","28,933.10","","-2.69%"
"10/01/2021","30,469.55","30,314.75","33,243.50","29,838.85","","0.28%"
"09/01/2021","30,384.00","28,588.70","30,605.55","28,406.65","","6.92%"
"08/01/2021","28,417.25","27,984.45","28,465.80","26,683.95","","2.16%"
"07/01/2021","27,815.25","27,023.05","27,951.95","26,841.05","","3.13%"
"06/01/2021","26,970.75","25,913.75","27,474.45","25,583.60","","4.64%"
"05/01/2021","25,775.45","24,038.95","25,868.95","23,935.95","","6.53%"
"04/01/2021","24,195.90","23,873.65","24,680.70","22,799.90","","2.12%"
"03/01/2021","23,693.15","23,470.40","24,740.45","22,480.25","","1.83%"
"02/01/2021","23,268.50","21,055.90","23,672.70","20,769.65","","11.28%"
"01/01/2021","20,909.85","20,894.70","22,504.60","20,813.60","","0.32%"
"12/01/2020","20,842.50","19,912.10","21,064.35","19,178.90","","5.72%"
"11/01/2020","19,715.10","17,129.30","19,775.40","17,006.05","","15.52%"
"10/01/2020","17,066.50","17,125.95","17,372.15","16,559.00","","0.49%"
"09/01/2020","16,983.05","16,724.20","17,547.55","16,013.25","","1.80%"
"08/01/2020","16,682.65","15,495.50","17,555.25","15,451.75","","7.83%"
"07/01/2020","15,471.30","14,733.60","15,661.55","14,647.30","","5.22%"
"06/01/2020","14,704.00","13,448.45","15,220.05","13,441.35","","10.78%"
"05/01/2020","13,273.00","13,119.05","13,369.90","12,389.50","","-1.70%"
"04/01/2020","13,502.00","11,715.15","13,598.35","11,282.35","","15.36%"
"03/01/2020","11,703.75","17,009.40","17,174.90","10,749.95","","-30.28%"
"02/01/2020","16,786.35","17,968.25","18,394.60","16,660.55","","-6.80%"
"01/01/2020","18,010.20","17,142.20","18,495.90","16,821.85","","5.31%"
"12/01/2019","17,102.50","17,232.75","17,237.65","16,479.95","","-0.69%"
"11/01/2019","17,222.15","16,845.20","17,338.05","16,607.65","","2.40%"
"10/01/2019","16,818.90","16,052.15","16,858.80","15,410.15","","4.95%"
"09/01/2019","16,026.00","15,545.40","16,873.80","15,254.15","","2.39%"
"08/01/2019","15,652.20","15,860.60","16,056.55","14,975.75","","-1.69%"
"07/01/2019","15,921.20","17,706.95","17,902.75","15,509.90","","-9.82%"
"06/01/2019","17,654.10","17,968.05","18,261.85","17,043.05","","-1.70%"
"05/01/2019","17,959.05","17,512.50","18,141.45","16,457.80","","2.24%"
"04/01/2019","17,566.40","18,334.70","18,463.05","17,426.40","","-3.79%"
"03/01/2019","18,258.50","16,787.35","18,269.70","16,781.05","","9.19%"
"02/01/2019","16,721.10","16,977.50","17,140.20","16,044.85","","-1.09%"
"01/01/2019","16,904.75","17,910.10","17,937.65","16,543.70","","-5.43%"
"12/01/2018","17,875.50","17,592.45","18,095.00","16,435.30","","2.12%"
"11/01/2018","17,503.60","17,257.30","17,705.80","17,209.95","","1.83%"
"10/01/2018","17,189.15","17,090.45","17,387.15","15,802.95","","0.20%"
"09/01/2018","17,154.35","20,015.20","20,088.05","16,972.70","","-13.89%"
"08/01/2018","19,920.45","18,936.35","20,005.85","18,742.35","","5.53%"
"07/01/2018","18,876.90","18,271.35","18,897.00","17,700.90","","3.83%"
"06/01/2018","18,181.30","18,884.60","19,115.60","17,813.75","","-3.82%"
"05/01/2018","18,903.30","20,328.65","20,328.85","18,328.55","","-6.84%"
"04/01/2018","20,290.30","18,833.30","20,301.80","18,813.15","","8.17%"
"03/01/2018","18,757.00","19,635.35","19,755.50","18,302.20","","-4.62%"
"02/01/2018","19,664.90","20,821.60","20,828.40","18,701.80","","-5.39%"
"01/01/2018","20,785.20","21,177.95","21,840.85","20,649.85","","-1.65%"
"12/01/2017","21,133.50","20,007.05","21,154.85","19,460.25","","6.22%"
"11/01/2017","19,895.15","19,689.70","20,178.95","19,146.15","","1.62%"
"10/01/2017","19,578.40","18,282.75","19,659.45","18,147.60","","8.12%"
"09/01/2017","18,107.95","18,345.65","19,200.20","17,723.85","","-0.93%"
"08/01/2017","18,277.45","18,563.40","18,638.30","17,056.15","","-1.28%"
"07/01/2017","18,514.60","17,792.45","18,545.35","17,730.65","","4.43%"
"06/01/2017","17,729.75","17,537.60","18,153.55","17,330.50","","1.26%"
"05/01/2017","17,509.90","18,143.35","18,511.55","17,039.30","","-3.19%"
"04/01/2017","18,086.45","17,256.25","18,167.10","17,242.00","","5.17%"
"03/01/2017","17,197.15","16,557.45","17,221.65","16,242.95","","4.35%"
"02/01/2017","16,480.50","15,445.30","16,510.05","15,402.15","","6.92%"
"01/01/2017","15,413.70","14,417.15","15,697.70","14,323.25","","7.40%"
"12/01/2016","14,351.45","14,964.20","14,966.20","13,658.15","","-3.73%"
"11/01/2016","14,907.10","15,955.40","16,033.50","13,933.40","","-6.32%"
"10/01/2016","15,912.30","15,546.05","16,169.10","15,537.70","","3.24%"
"09/01/2016","15,413.10","15,384.45","15,817.90","15,020.85","","0.27%"
"08/01/2016","15,370.85","14,856.95","15,452.40","14,490.50","","4.05%"
"07/01/2016","14,772.75","13,871.50","14,839.55","13,871.50","","6.92%"
"06/01/2016","13,816.45","13,322.30","13,843.50","12,921.05","","3.94%"
"05/01/2016","13,292.65","13,165.10","13,381.75","12,811.30","","0.74%"
"04/01/2016","13,195.30","12,743.75","13,416.35","12,628.55","","3.47%"
"03/01/2016","12,752.60","11,610.30","12,770.20","11,610.30","4.78B","10.33%"
"02/01/2016","11,558.70","12,555.15","12,593.70","11,190.35","5.55B","-7.30%"
"01/01/2016","12,469.10","13,413.70","13,638.25","11,857.85","5.25B","-6.92%"
"12/01/2015","13,396.70","13,294.40","13,422.65","12,726.65","4.38B","1.12%"
"11/01/2015","13,248.70","13,254.40","13,351.70","12,712.15","3.93B","0.08%"
"10/01/2015","13,238.50","13,082.65","13,570.15","12,978.65","4.41B","1.96%"
"09/01/2015","12,984.50","12,951.15","13,064.30","12,133.75","4.99B","-0.57%"
"08/01/2015","13,059.10","13,771.65","14,237.60","12,154.85","6.24B","-4.88%"
"07/01/2015","13,728.65","13,049.35","13,791.90","13,049.35","5.07B","5.53%"
"06/01/2015","13,009.65","13,149.65","13,223.40","12,326.70","6.11B","-1.30%"
"05/01/2015","13,180.75","12,775.95","13,198.25","12,222.85","4.12B","3.87%"
"04/01/2015","12,689.60","13,006.30","13,738.70","12,298.85","4.27B","-2.40%"
"03/01/2015","13,001.25","13,207.10","13,521.65","12,538.80","5.24B","-0.89%"
"02/01/2015","13,117.50","13,135.05","13,281.35","12,452.00","5.98B","-0.05%"
"01/01/2015","13,124.10","12,579.20","13,283.05","12,212.50","5.58B","4.29%"
"12/01/2014","12,583.85","12,402.90","12,812.35","11,470.00","5.84B","1.57%"
"11/01/2014","12,389.25","11,849.60","12,459.15","11,849.60","4.85B","4.63%"
"10/01/2014","11,841.10","11,407.75","11,844.80","10,940.85","3.73B","3.70%"
"09/01/2014","11,418.30","11,151.20","12,000.60","11,054.95","5.66B","2.74%"
"08/01/2014","11,114.05","10,749.10","11,261.95","10,602.75","4.53B","2.55%"
"07/01/2014","10,838.20","11,142.65","11,492.35","10,410.20","6.60B","-2.33%"
"06/01/2014","11,096.90","10,175.10","11,124.40","10,175.10","7.69B","9.43%"
"05/01/2014","10,141.05","8,832.45","10,673.75","8,775.90","7.76B","15.45%"
"04/01/2014","8,783.65","8,639.50","9,009.15","8,541.55","4.56B","1.99%"
"03/01/2014","8,612.45","7,807.30","8,623.95","7,752.45","4.19B","10.34%"
"02/01/2014","7,805.25","7,515.45","7,818.50","7,376.90","2.52B","3.52%"
"01/01/2014","7,540.00","8,084.60","8,181.25","7,346.70","3.93B","-6.58%"
"12/01/2013","8,071.30","7,703.95","8,076.05","7,594.25","3.72B","5.06%"
"11/01/2013","7,682.40","7,524.10","7,791.75","7,394.10","3.61B","1.96%"
"10/01/2013","7,534.80","7,005.35","7,549.00","6,950.15","3.33B","7.67%"
"09/01/2013","6,997.95","6,606.00","7,205.85","6,530.35","4.05B","6.19%"
"08/01/2013","6,589.80","6,894.10","6,995.85","6,330.75","4.25B","-4.12%"
"07/01/2013","6,872.95","7,357.15","7,567.95","6,693.35","4.61B","-6.39%"
"06/01/2013","7,342.40","7,813.60","7,916.80","7,005.10","4.02B","-6.13%"
"05/01/2013","7,821.80","7,812.55","8,242.65","7,737.00","4.65B","0.04%"
"04/01/2013","7,818.60","7,430.95","7,871.15","7,303.80","4.16B","5.63%"
"03/01/2013","7,401.60","7,543.60","7,886.95","7,247.20","5.16B","-1.84%"
"02/01/2013","7,540.35","8,365.55","8,416.40","7,517.00","5.60B","-9.84%"
"01/01/2013","8,363.70","8,507.10","8,859.40","8,172.60","7.33B","-1.66%"
"12/01/2012","8,505.10","8,141.30","8,509.80","8,141.30","5.49B","4.49%"
"11/01/2012","8,139.80","7,763.80","8,157.95","7,683.85","4.68B","4.85%"
"10/01/2012","7,763.05","7,841.00","8,069.10","7,658.95","4.98B","-0.99%"
"09/01/2012","7,840.55","7,066.75","7,875.05","7,065.10","4.55B","10.96%"
"08/01/2012","7,065.85","7,168.45","7,344.05","6,996.90","3.65B","-1.43%"
"07/01/2012","7,168.50","7,352.80","7,573.75","7,001.20","4.51B","-2.49%"
"06/01/2012","7,351.80","6,898.80","7,361.45","6,672.05","4.47B","6.57%"
"05/01/2012","6,898.40","7,472.40","7,524.40","6,787.10","4.79B","-7.66%"
"04/01/2012","7,471.05","7,711.70","7,850.25","7,333.45","3.98B","-3.12%"
"03/01/2012","7,711.40","7,705.00","7,909.10","7,392.30","6.41B","0.08%"
"02/01/2012","7,705.60","7,100.45","8,043.30","7,079.95","7.67B","8.52%"
"01/01/2012","7,100.55","6,112.30","7,116.35","6,057.65","4.81B","16.18%"
"12/01/2011","6,111.85","6,642.90","6,877.90","6,030.45","3.54B","-7.97%"
"11/01/2011","6,641.05","7,266.50","7,353.25","6,398.15","3.45B","-8.62%"
"10/01/2011","7,267.15","7,093.60","7,290.25","6,816.90","2.14B","2.44%"
"09/01/2011","7,094.00","7,296.00","7,552.00","7,005.30","2.70B","-2.75%"
"08/01/2011","7,294.75","8,021.50","8,112.50","7,020.15","2.98B","-9.01%"
"07/01/2011","8,017.35","7,972.60","8,247.95","7,968.15","2.48B","0.58%"
"06/01/2011","7,971.50","8,065.50","8,111.10","7,558.05","2.55B","-1.16%"
"05/01/2011","8,064.80","8,201.30","8,237.35","7,734.05","2.38B","-1.66%"
"04/01/2011","8,200.95","8,040.50","8,451.05","8,039.05","2.49B","2.00%"
"03/01/2011","8,040.15","7,426.05","8,084.85","7,426.05","2.11B","9.09%"
"02/01/2011","7,370.10","7,952.00","7,971.45","7,219.40","2.50B","-6.97%"
"01/01/2011","7,922.50","8,920.55","8,978.45","7,723.55","2.05B","-10.55%"
"12/01/2010","8,857.20","8,925.80","9,258.45","8,290.40","2.06B","-0.56%"
"11/01/2010","8,907.50","9,462.65","9,853.45","8,351.05","2.40B","-4.84%"
"10/01/2010","9,360.70","9,209.90","9,640.45","9,205.20","2.34B","2.14%"
"09/01/2010","9,164.25","8,732.90","9,317.80","8,716.40","2.08B","5.58%"
"08/01/2010","8,679.85","8,460.05","9,036.30","8,460.05","2.24B","3.14%"
"07/01/2010","8,415.30","8,096.10","8,493.60","8,076.80","1.91B","3.50%"
"06/01/2010","8,130.85","7,746.55","8,184.25","7,645.25","2.09B","4.83%"
"05/01/2010","7,755.95","8,058.00","8,099.40","7,355.60","2.12B","-3.79%"
"04/01/2010","8,061.10","7,750.45","8,071.95","7,746.40","1.85B","4.62%"
"03/01/2010","7,704.90","7,242.50","7,725.30","7,242.50","1.88B","7.50%"
"02/01/2010","7,167.25","7,171.10","7,446.20","7,005.95","1.59B","-0.48%"
"01/01/2010","7,201.85","7,460.30","7,885.35","6,955.60","2.40B","-3.11%"